1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|2*3*4*5.9*0.3*0.7*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*1*5.9*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|2*0*2*5.9*0.6*0.4*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|2*2*4*5.9*0.2*0.8*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|2*0*3*5.9*0.7*0.3*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
1*0*3*1*Task(C++ NONE)|1*1*5.9*1*Task(C++ NONE)|1*2*1*1*Task(C++ NONE)|1*3*1*1*Task(C++ NONE)|1*4*3*1*Task(C++ NONE)|
